Ratio,Mean,Std,Max,Min
0,0,0,0,0
0.05,0.80622378796098,0.000322252509687667,3.1095898162681,-1.97322634624865
0.1,1.63376638366703,0.000623868159149031,6.37789208740851,-3.33768583226318
0.15,2.35594988662584,0.000982632036929389,10.8457189884156,-6.72373186044081
0.2,2.97420389846381,0.00128424768639075,13.5426237508085,-6.14428060361287
0.25,3.65669394921084,0.00155887667247926,17.8615856905568,-10.0296905911944
0.3,4.29648511578098,0.00188208165263891,20.7369807774653,-10.5307473142108
0.35,4.94427400284261,0.00219763512000696,27.3799981708523,-10.9543073513098
0.4,5.32804464390177,0.00243783229853327,24.8781731727045,-13.3414259893902
0.45,5.99351727416861,0.00284885505620978,35.5839231801746,-15.0091488598719
0.5,6.48967847751747,0.00321250828241298,36.9036955792935,-16.6382269153967
0.55,6.76279980946115,0.00352483922468416,45.7112826076105,-20.3625212031552
0.6,7.18687560962312,0.00381445374619853,45.9572678583052,-19.893448978031
0.65,7.49409884805743,0.00404711053348831,42.550533598181,-21.0478214411929
0.7,7.75433442204283,0.00437268081532005,51.7814929783684,-27.5351907836436
0.75,8.16283746388888,0.0047166179027532,52.801156460458,-26.9757651167803
0.8,8.25041937176898,0.00505142714816318,60.6985218539318,-31.1906002625122
0.85,7.81018649750167,0.00535453500136398,63.162482348221,-27.2002524815369
0.9,8.43695377879794,0.00577873360056959,66.9608225484469,-30.0856665477516
0.95,8.35250313379734,0.00591496862707893,70.3066499481893,-28.0776525537295
1,8.7818835707957,0.00625909620860648,76.3427806815073,-38.3311049747776
