Ratio,Mean,Std,Max,Min
0,0,0,0,0
0.05,0.831982492964878,0.000346064271487248,3.24515324517405,-1.39184985400853
0.1,1.63747591895198,0.000708003050840884,7.23088986175169,-3.33415726541776
0.15,2.43816938504853,0.00105565477311477,11.077115697969,-5.11518193731437
0.2,3.17734932733924,0.00140965629853521,15.0206141526582,-7.64808157367631
0.25,3.80911308131202,0.00172279684070757,19.3101204827964,-9.39063347062426
0.3,4.52935204857148,0.00210145147684452,23.1027952033642,-11.5473961803278
0.35,4.96304247828669,0.00241571910907539,33.6720324407846,-13.8957722824271
0.4,6.11276170890285,0.00275040135842244,33.9683787403035,-12.7378734590282
0.45,6.30958838191376,0.00309694186514568,35.0237101856848,-13.4155334303365
0.5,6.6270274505221,0.00339308080939314,40.7191921541629,-15.6241836340603
0.55,7.33475663265688,0.00373243016405291,44.0379459755913,-19.6953715900224
0.6,8.12432065811801,0.00414883437989612,54.9009989959586,-21.5117864985919
0.65,7.75673310808251,0.00442752723999842,51.078405953526,-26.1954482083553
0.7,8.2257329154589,0.0049593232535224,59.5195063428836,-21.9162984900726
0.75,7.81707167373844,0.00536159915736453,62.2015906763233,-27.8205902258395
0.8,8.94090338528726,0.00550524757904747,76.153942014525,-35.0145596096304
0.85,8.92913680496161,0.0057310783279547,74.0378978115564,-30.4497891636512
0.9,8.73969463707216,0.00611613039076179,69.5861605392935,-31.1290775556603
0.95,9.81155054823213,0.00659154015234437,77.483099652687,-34.3072462790091
1,8.44791541680736,0.00662700380291788,90.5643602439337,-31.9057049732126
